Month,State,Cases
2020-04,(Other),"138,411"
2020-05,CA,"71,217"
2020-05,TX,"31,687"
2020-05,NY,"134,469"
2020-05,FL,"22,279"
2020-05,IL,"50,655"
2020-05,PA,"23,186"
2020-05,NC,"21,070"
2020-05,OH,"13,114"
2020-05,NJ,"30,036"
2020-05,MI,"9,544"
2020-05,GA,"17,110"
2020-05,TN,"12,764"
2020-05,AZ,"16,188"
2020-05,MA,"31,007"
2020-05,VA,"26,846"
2020-05,IN,"14,183"
2020-05,WA,"7,451"
2020-05,SC,"6,192"
2020-05,MN,"18,224"
2020-05,MO,"5,820"
2020-05,(Other),"160,401"
2023-03,CA,"53,851"
2023-03,TX,"35,457"
2023-03,NY,"33,245"
2023-03,FL,"28,632"
2023-03,IL,"24,886"
2023-03,PA,"18,648"
2023-03,NC,"14,126"
2023-03,OH,"24,102"
2023-03,NJ,"11,905"
2023-03,MI,"21,949"
2023-03,GA,"8,607"
2023-03,TN,"11,681"
2023-03,AZ,"12,307"
2023-03,MA,"8,583"
2023-03,VA,"9,520"
2023-03,IN,"10,659"
2023-03,WA,"12,440"
2023-03,SC,"6,735"
2023-03,MN,"9,000"
2023-03,MO,"10,759"
2023-03,(Other),"172,192"
2021-06,CA,"35,811"
2021-06,TX,"65,871"
2021-06,NY,"12,576"
2021-06,FL,"57,851"
2021-06,IL,"9,554"
2021-06,PA,"8,388"
2021-06,NC,"11,985"
2021-06,OH,"7,663"
2021-06,NJ,"8,205"
2021-06,MI,"30,451"
2021-06,GA,"7,013"
2021-06,TN,"5,586"
2021-06,AZ,"13,916"
2021-06,MA,"3,136"
2021-06,VA,"6,033"
2021-06,IN,"7,434"
2021-06,WA,"13,155"
2021-06,SC,"5,291"
2021-06,MN,"4,002"
2021-06,MO,"21,316"
2021-06,(Other),"140,756"
2020-03,CA,"19,396"
2020-03,TX,"3,170"
2020-03,NY,"129,787"
2020-03,FL,"16,363"
2020-03,IL,"17,747"
2020-03,PA,"14,319"
2020-03,NC,"3,428"
2020-03,OH,"5,809"
2020-03,NJ,"39,246"
2020-03,MI,"13,639"
2020-03,GA,"6,811"
2020-03,TN,"4,302"
2020-03,AZ,"2,691"
2020-03,MA,"14,475"
2020-03,VA,"4,214"
2020-03,IN,"5,910"
2020-03,WA,"8,290"
2020-03,SC,"2,671"
2020-03,MN,"1,248"
2020-03,MO,"3,329"
2020-03,(Other),"57,337"
2020-02,CA,485
2020-02,TX,18
2020-02,NY,"1,052"
2020-02,FL,327
2020-02,IL,69
2020-02,PA,67
2020-02,NC,102
2020-02,OH,204
2020-02,NJ,127
2020-02,MI,145
2020-02,GA,170
2020-02,TN,55
2020-02,AZ,57
2020-02,MA,263
2020-02,VA,44
2020-02,IN,58
2020-02,WA,316
2020-02,SC,53
2020-02,MN,16
2020-02,MO,42
2020-02,(Other),719
2020-01,CA,368
2020-01,TX,84
2020-01,NY,534
2020-01,FL,267
2020-01,IL,29
2020-01,PA,0
2020-01,NC,81
2020-01,OH,162
2020-01,NJ,353
2020-01,MI,133
2020-01,GA,664
2020-01,TN,177
2020-01,AZ,65
2020-01,MA,87
2020-01,VA,12
2020-01,IN,25
2020-01,WA,27
2020-01,SC,118
2020-01,MN,0
2020-01,MO,104
